,text,major_principle,is_major_principle_here,ethical_us,correct
0,"An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data.",privacy,True,"As a **security officer**, I want to **use an intelligent system to locate a vehicle or person in the terminal by providing identifying data** so that **I can ensure safety and security without compromising their privacy**.",True
1,Terminal area and booking documents and booking app contains the help information (for different purposes broken down).,transparency,True,"As a **user of the terminal area and booking app**, I want to **access clearly broken-down help information for different purposes** so that **I can understand and make informed decisions about my bookings and use the system efficiently**.",True
2,"Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle.",transparency,True,"As a port visitor with a vehicle, I want to receive an explanation of what information will be handled when making a reservation, so that I am fully informed and can consent to sharing the necessary information about my vehicle.",True
3,A clear advertisement is placed on the booking document about the AI and data privacy.,transparency,True,"As a *user of the booking system*, I want to *see a clear advertisement about the AI and data privacy on the booking document* so that *I can understand how my data is being used and ensure my privacy is protected*.",True
4,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,transparency,True,"As a **user**, I want to **see a clear data information policy and GDPR compliance procedures on the service app/web page** so that **I can understand how my personal data is handled and what to expect during high volumes of user data requests, including waiting times and resource redirections**.",True
5,No feature of the smart terminal or port must interfere in an unwanted way with any system in the passenger vehicles.,non-maleficence,True,"As a **passenger vehicle user**, I want the **smart terminal or port features to not interfere in an unwanted way with any system in my vehicle** so that **my safety and the proper functioning of my vehicle are ensured.**",True
6,"Car indentation system (digital, semi-automated, etc.) with control, navigation and markings is placed in the car deck to direct cars in line and to right places.",beneficence,True,"As a **driver**, I want to **use a car indentation system with control, navigation, and markings** so that **my vehicle can be easily directed to the appropriate and correct parking spot, ensuring a smooth and organized parking experience that benefits everyone on the car deck**.",True
7,"The system has a reliable way to detect people sitting in a vehicle, that is in balance with respecting the privacy of passengers and adhering to border protocols",privacy,True,"As a **border control officer**, I want to **use a reliable system to detect people sitting in a vehicle without compromising their privacy** so that **passenger privacy is respected while ensuring compliance with border protocols**.",True
8,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",transparency,True,"As a **user**, I want to **understand the system's functioning and be notified of possible ""uncertain"" situations with timestamps or other identifying information** so that **I can make informed decisions and have confidence in the system's transparency and reliability**.",True
9,Car identification system is tested with right and wrong data and error handling is defined in the terminal action plan and terminal personnel is trained with error handling.,responsibility,True,"As a **terminal personnel**, I want to **receive training and clear guidelines for error handling within the car identification system, tested with both correct and incorrect data**, so that **I can effectively and responsibly manage any errors and ensure accurate operations at the terminal**.",True
10,The data tied to a person can be found and is eraseable in the system upon request.,privacy,True,"As a **user**, I want to **have the ability to locate and erase my personal data within the system upon request** so that **my privacy is protected and my personal information is not misused or retained without my consent**.",True
11,Smart terminal area is defined in the blueprints of the SMARTER project with responsibilities and roles.,responsibility,True,"As a project manager, I want to clearly define the responsibilities and roles of the smart terminal area in the blueprints of the SMARTER project so that accountability and integrity are maintained throughout the project lifecycle.",True
12,The data storing and collecting follows the GDPR regulations and identifying data is anonymized or destroyed within the legal time frame.,privacy,True,"As a **user** I want to **ensure that my personal data is collected, stored, and managed in compliance with GDPR regulations and anonymized or destroyed within the legal time frame** so that **my privacy is protected and my personal information is not misused or retained longer than necessary**.",True
13,"Before being able to finish purchasing tickets, the passenger is required to accept the terms and conditions of using the smart terminal and having the minimum required data collected.",transparency,True,"As a passenger, I want to clearly understand the terms and conditions of using the smart terminal and the specifics of the data being collected, so that I can make an informed decision before completing my ticket purchase.",True
14,Communication plan has a section about on-time communication for different logistical purposes towards car carriers,transparency,True,"As a **logistics coordinator**, I want to **ensure on-time communication for different logistical purposes towards car carriers** so that **all parties involved in the transportation process are well-informed and operations run smoothly with a high level of transparency**.",True
15,Data consent lifecycle is defined in the SMART terminal blueprints.,privacy,True,"As a **user**, I want to **have clear information about the data consent lifecycle** so that **my personal data privacy is respected and I am informed of how my data is collected, used, and stored**.",True
16,Harbor area will have clear signs of the data requirities and visualize the flow of events.,transparency,True,"As a **harbor administrator**, I want to **have clear signs of the data requirements and visualize the flow of events** so that **I can ensure the proper and transparent operation of data-sensitive processes within the harbor area**.",True
17,"The boarding process is as similar to what it used to be as possible, or even simpler. Any and all instructions are crystal clear so that the passengers are able to proceed without asking for assistance as often as possible.",transparency,True,"As a passenger, I want the boarding process to be as similar to the traditional method as possible, with crystal clear instructions, so that I can proceed without frequently asking for assistance and have a transparent and understandable experience.",True
18,Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,beneficence,True,"As a logistics manager, I want to embed an action plan for personnel regarding delays into the logistics plan so that we can prevent misbehavior among passengers and ensure a smooth and beneficial experience for everyone involved.",True
19,"The system can display capacity information for passengers that access the service remotely and at the port, display terminals can also provide these types of information for passengers.",transparency,True,"As a **passenger**, I want to **access capacity information for the service both remotely and at the port via display terminals** so that **I can make informed decisions about my travel plans and ensure transparency in service availability**.",True
20,Clear logs that shows the state of the system and provide appropriate feedback and APIs that can improve system integration.,transparency,True,"As a **developer**, I want to **access clear logs that show the state of the system and receive appropriate feedback through APIs** so that **I can better understand and integrate the system efficiently and transparently**.",True
21,Technical data of the camera is communicated to developers and also to wider audience in order to built trust on the system as a whole,trust,True,"As a **developer**, I want to **communicate technical data of the camera** so that **trust is built within the wider audience and the system as a whole**.",True
22,Different use cases in passenger flows are modeled and communicated to all needed participants torugh the development lifecycle.,transparency,True,"As a project stakeholder, I want different use cases in passenger flows to be modeled and communicated to all needed participants throughout the development lifecycle so that there is complete transparency and understanding of system functionalities and impacts.",True
23,"Passengers are instructed to clear their register plates before arriving to the terminal. An employee is still present to resolve problem situations (e.g. to quickly clean the register plate if needed). Accidents are handled as they currently are when two human drivers are involved. For accident situations with smart vehicles, accountability is also determined by the smart vehicle's accountability.",responsibility,True,"As a passenger, I want to ensure that my register plate is cleared before arriving at the terminal so that accountability and responsibility are clearly established in case of any issue, and an employee is available to assist with unexpected problems to maintain integrity in the process.",True
24,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",privacy,True,"As a **smart vehicle owner**, I want to **ensure that my vehicle interacts with terminals in a way that does not compromise the safety of either party and has clear limits on data sharing and permissions**, so that **my personal data remains private and secure.**",True
25,Smart harborfollows a protocol on traditional cars and a smart vehicles when developing the flow of events from harbor entering to entering to the ship.,justice and equity,True,"As a port authority official, I want Smart Harbor to follow a protocol that treats traditional cars and smart vehicles equitably when developing the flow of events from harbor entering to entering the ship so that all vehicles receive fair and unbiased treatment, ensuring a just operational process.",True
26,Boarding pass on cars are shared with instructions for different vehicles.,transparency,True,"As a **car owner**, I want to **receive a clear and comprehensive boarding pass with detailed instructions for different vehicles** so that **I can understand how to properly access and operate various car models transparently and safely.**",True
27,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,responsibility,True,"As a **port administrator**, I want to implement a standby system or human traffic warden to manage traffic during ship loading and unloading, so that **the flow of operations remains smooth and the risk of accidents or delays is minimized**.",True
28,Digital scanners that synchronize passenger information with regulations such as alcohol limits that can be brought in and to ensure that drunk or underage passengers are not driving.,non-maleficence,True,"As a **transportation safety officer**, I want to **implement digital scanners that synchronize passenger information with regulations such as alcohol limits** so that **drunk or underage passengers are prevented from driving, ensuring their safety and the safety of others on the road**.",True
29,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,non-maleficence,True,"As a **port operator**, I want to **ensure that there is a standby system or human traffic warden available to direct traffic for ship loading and unloading in the event of a traffic light failure** so that **we can prevent accidents, ensure safety, and avoid causing harm to personnel and equipment.**",True
30,"Regular digital or even manual information system checks with prompts informing on current updates such as parking information, duration of parking, etc.",transparency,True,"As a parking lot user,",True
31,Digital verification devices such as number plate scanners for vehicles to ensure that vehicle is authentic and in line with regulations and biometic scanner for human passengers.,trust,True,"As a law enforcement officer, I want to use digital verification devices such as number plate scanners for vehicles and biometric scanners for human passengers so that I can ensure vehicle authenticity and compliance with regulations, thereby building trust by proving that the system is secure, accurate, and respectful of individuals' data.",True
